Company, Quarter, Days Receivable, Current Ratio, Cash to TA, Working Capital To TA, Asset Turnover, Gross Profit Margin,Operating Profit Margin, Net Profit Margin, Debt to asset, Debt to equity, Equity multiplier,Time interest earned coverage, Operating return on asset, Return on asset, Return on Equity, EBITDA to TA, Cashflow to expenditure,Cashflow to debt, Result
PBF Energy Inc,2017-03,11.55,1.56,0.0407,0.1497,0.63,0.10,0.0004,-0.0065,0.2747,1.0492,3.82,0.09,0.0002,-0.0041,-0.0158,0.0087,-1.51,-0.0801,1
PBF Energy Inc,2017-09,12.75,1.50,0.0376,0.1442,0.68,0.12,0.1072,0.0574,0.2648,1.0028,3.79,32.63,0.0734,0.0393,0.1488,0.0835,9.61,0.2119,1
PBF Energy Inc,2017-12,13.12,1.57,0.0706,0.1705,0.81,0.05,0.0388,0.0370,0.2700,0.9379,3.47,14.10,0.0313,0.0298,0.1035,0.0417,9.20,0.1659,1
PBF Energy Inc,2018-03,12.89,1.50,0.0438,0.1550,0.70,0.10,0.0165,0.0052,0.2633,0.9282,3.52,4.79,0.0116,0.0037,0.0129,0.0222,-3.43,-0.0392,1
PBF Energy Inc,2018-06,12.50,1.66,0.0560,0.1908,0.87,0.07,0.0568,0.0366,0.2596,0.8527,3.28,21.14,0.0495,0.0318,0.1046,0.0605,4.10,0.1678,1
PBF Energy Inc,2018-09,12.57,1.79,0.1149,0.2280,0.83,0.04,0.0317,0.0235,0.2362,0.7096,3.00,12.13,0.0263,0.0195,0.0585,0.0367,5.67,0.1991,1
X Technologies Inc,2014-09,59.88,1.93,0.0741,0.2487,0.28,0.25,0.0883,0.0830,0.1158,0.2737,2.36,21.88,0.0245,0.0230,0.0545,0.0329,1.31,0.0732,1
X Technologies Inc,2015-03,49.89,1.94,0.0983,0.2461,0.26,0.26,0.0969,0.0619,0.1073,0.2903,2.71,29.97,0.0254,0.0162,0.0439,0.0348,0.24,0.0168,1
X Technologies Inc,2015-09,45.16,1.87,0.0963,0.2320,0.25,0.30,0.3648,0.2894,0.2127,0.9445,4.44,106.39,0.0928,0.0736,0.3270,0.1023,13.42,0.5186,1
X Technologies Inc,2015-12,37.92,1.83,0.1125,0.2134,0.26,0.18,0.0209,-0.0014,0.2132,1.1037,5.18,2.25,0.0055,-0.0004,-0.0019,0.0154,5.97,0.3284,1
X Technologies Inc,2016-03,38.80,1.70,0.0496,0.1914,0.27,0.32,0.1893,0.1360,0.2123,1.0833,5.10,40.78,0.0506,0.0363,0.1855,0.0593,-1.27,-0.0442,1
X Technologies Inc,2016-06,29.84,1.72,0.0698,0.1979,0.29,0.34,0.2080,0.1451,0.2045,0.9808,4.80,52.87,0.0597,0.0417,0.1998,0.0688,10.22,0.2995,1
X Technologies Inc,2016-09,37.28,1.62,0.0331,0.1729,0.28,0.29,0.1511,0.1082,0.3251,3.7518,11.54,27.99,0.0420,0.0301,0.3471,0.0511,1.57,0.0438,1
X Technologies Inc,2016-12,30.30,1.58,0.0795,0.1606,0.26,0.28,0.1065,0.0842,0.3324,3.5002,10.53,14.03,0.0272,0.0215,0.2266,0.0358,6.77,0.2807,1
X Technologies Inc,2017-03,39.51,1.94,0.0593,0.2232,0.26,0.29,0.1691,0.1301,0.3526,2.7705,7.86,20.58,0.0447,0.0344,0.2706,0.0534,-3.99,-0.0958,1
X Technologies Inc,2017-06,32.04,1.90,0.0910,0.2171,0.25,0.32,0.2002,0.1494,0.3182,1.9584,6.16,21.01,0.0505,0.0377,0.2321,0.0593,7.90,0.2298,1
X Technologies Inc,2017-09,34.50,1.81,0.1179,0.2153,0.24,0.28,0.1506,0.1110,0.3000,1.6794,5.60,16.46,0.0366,0.0270,0.1512,0.0447,3.92,0.1561,1
X Technologies Inc,2017-12,39.59,1.65,0.1188,0.2015,0.25,0.33,0.1801,-0.0365,0.2972,1.7833,6.00,21.41,0.0452,-0.0092,-0.0550,0.0537,1.63,0.1519,1
X Technologies Inc,2018-06,41.19,2.88,0.1823,0.3336,0.25,0.28,0.1483,0.1382,0.3907,1.7533,4.49,8.27,0.0374,0.0348,0.1562,0.0699,1.72,0.2576,1
X Technologies Inc,2018-09,41.16,1.90,0.0381,0.1873,0.25,0.23,0.0971,0.1831,0.4443,1.9652,4.42,5.21,0.0238,0.0449,0.1985,0.0326,-0.97,-0.0334,1
Brunswick Corp,2014-09,38.75,2.19,0.1942,0.3362,0.30,0.28,0.1005,0.1120,0.1488,0.3569,2.40,13.58,0.0305,0.0340,0.0816,0.0348,1.93,0.1027,1
Brunswick Corp,2014-12,37.06,2.19,0.1763,0.3406,0.30,0.25,0.0156,-0.0046,0.1454,0.3890,2.68,2.06,0.0047,-0.0014,-0.0037,0.0119,2.50,0.2473,1
Brunswick Corp,2015-03,43.25,2.22,0.1214,0.3391,0.32,0.26,0.0900,0.0578,0.1508,0.3822,2.53,12.67,0.0292,0.0188,0.0476,0.0365,-4.03,-0.2891,1
Brunswick Corp,2015-06,35.21,2.29,0.1880,0.3599,0.37,0.28,0.1350,0.1032,0.1452,0.3562,2.45,22.03,0.0497,0.0380,0.0932,0.0568,7.52,0.5161,1
Brunswick Corp,2015-09,36.36,2.34,0.1989,0.3710,0.32,0.28,0.1167,0.0765,0.1449,0.3515,2.43,16.54,0.0370,0.0243,0.0589,0.0442,3.89,0.2810,1
Brunswick Corp,2015-12,56.12,1.99,0.2085,0.2843,0.21,0.30,-0.0344,-0.0141,0.1423,0.3500,2.46,-3.39,-0.0072,-0.0030,-0.0073,-0.0038,6.75,0.2301,1
Brunswick Corp,2016-03,45.51,1.80,0.0904,0.2284,0.34,0.26,0.0932,0.0605,0.1444,0.3454,2.39,14.68,0.0320,0.0208,0.0496,0.0401,-1.86,-0.1903,1
Brunswick Corp,2016-06,34.93,1.86,0.1519,0.2473,0.38,0.28,0.1324,0.0870,0.1395,0.3260,2.34,23.50,0.0507,0.0333,0.0779,0.0585,7.18,0.6715,1
Brunswick Corp,2016-09,37.43,1.85,0.1349,0.2410,0.34,0.28,0.1143,0.0781,0.1395,0.3152,2.26,17.84,0.0385,0.0263,0.0595,0.0467,1.72,0.1588,1
Brunswick Corp,2016-12,49.49,1.75,0.1286,0.2203,0.23,0.31,0.0440,0.0237,0.1338,0.3051,2.28,5.14,0.0100,0.0054,0.0123,0.0143,3.60,0.3309,1
Brunswick Corp,2017-03,44.04,1.75,0.0835,0.2182,0.33,0.27,0.1032,0.0600,0.1349,0.2998,2.22,17.18,0.0341,0.0198,0.0440,0.0413,-1.77,-0.1960,1
Brunswick Corp,2017-06,34.92,1.80,0.1292,0.2341,0.40,0.27,0.1308,0.0883,0.1312,0.2869,2.19,26.39,0.0523,0.0353,0.0771,0.0616,5.05,0.5813,1
Brunswick Corp,2017-09,37.56,1.81,0.1151,0.2343,0.34,0.28,0.1060,0.0692,0.1300,0.2814,2.16,18.33,0.0356,0.0232,0.0503,0.0438,1.84,0.1885,1
Brunswick Corp,2018-03,48.10,1.73,0.0834,0.2310,0.34,0.27,0.1009,0.0631,0.1275,0.2931,2.30,16.90,0.0342,0.0214,0.0492,0.0424,-1.95,-0.1546,1
Brunswick Corp,2018-06,37.14,1.70,0.1274,0.2268,0.41,0.25,0.1010,0.0564,0.1268,0.2889,2.28,17.26,0.0414,0.0231,0.0526,0.0515,4.81,0.6179,1
Brunswick Corp,2018-09,40.06,1.26,0.0718,0.0906,0.31,0.27,0.0840,0.0539,0.2921,0.7893,2.70,8.32,0.0259,0.0166,0.0449,0.0359,1.17,0.0269,1
Shell midstream partners LC,2015-06,35.00,1.07,0.1965,0.0167,0.10,0.81,0.5486,1.5729,0.1231,0.2049,1.66,45.14,0.0550,0.1576,0.2622,0.0610,48.00,0.7458,1
Shell midstream partners LC,2015-09,24.86,0.32,0.1930,-0.5070,0.12,0.82,0.6754,0.7500,0.6913,8.0000,11.57,11.64,0.0803,0.0892,1.0323,0.0861,16.98,0.1614,0
Shell midstream partners LC,2015-12,10.57,5.01,0.1301,0.1465,0.34,0.68,0.4327,0.2340,0.6401,4.6363,7.24,22.91,0.1474,0.0797,0.5775,0.1781,4.25,0.3759,1
Shell midstream partners LC,2016-03,31.21,7.38,0.1833,0.1982,0.10,0.81,0.5867,0.7210,0.0634,0.0871,1.37,93.75,0.0598,0.0735,0.1009,0.0676,15.40,1.5178,1
Shell midstream partners LC,2016-06,25.30,9.70,0.2153,0.2288,0.11,0.64,0.4919,0.7350,0.4398,0.9308,2.12,12.56,0.0545,0.0815,0.1724,0.0700,6.34,0.2761,1
