Company, Quarter, Days Receivable, Current Ratio, Cash to TA, Working Capital To TA, Asset Turnover, Gross Profit Margin,Operating Profit Margin, Net Profit Margin, Debt to asset, Debt to equity, Equity multiplier,Time interest earned coverage, Operating return on asset, Return on asset, Return on Equity, EBITDA to TA, Cashflow to expenditure,Cashflow to debt, Result
OUTFRONT Media Inc.,2016-06,49.89,1.76,0.0161,0.0315,0.10,1.00,0.1547,-0.0755,0.5777,1.7396,3.01,-0.74,0.0158,-0.0077,-0.0232,-0.0021,5.06,0.0325,1
OUTFRONT Media Inc.,2016-09,50.90,1.68,0.0194,0.0311,0.10,1.00,0.1599,-0.0679,0.5744,1.7305,3.01,-0.60,0.0162,-0.0069,-0.0208,-0.0008,5.65,0.0443,1
OUTFRONT Media Inc.,2016-12,50.28,1.57,0.0174,0.0279,0.11,1.00,0.1512,-0.0760,0.5716,1.7331,3.03,-2.11,0.0161,-0.0081,-0.0245,0.0069,3.32,0.0404,1
OUTFRONT Media Inc.,2017-03,49.52,1.44,0.0072,0.0174,0.09,1.00,0.0853,-0.0917,0.5859,1.8077,3.09,-26.80,0.0077,-0.0083,-0.0256,0.0100,2.30,0.0150,1
OUTFRONT Media Inc.,2017-06,54.00,1.14,0.0061,0.0084,0.10,1.00,0.1716,-0.0795,0.5640,1.8137,3.22,-2.10,0.0179,-0.0083,-0.0267,0.0122,3.91,0.0219,1
OUTFRONT Media Inc.,2017-09,55.18,1.28,0.0110,0.0164,0.10,1.00,0.1728,-0.0420,0.5623,1.7947,3.19,-1.54,0.0178,-0.0043,-0.0138,0.0161,6.47,0.0483,1
OUTFRONT Media Inc.,2017-12,51.83,1.24,0.0127,0.0143,0.11,1.00,0.1739,-0.0758,0.5633,1.8164,3.22,-2.76,0.0183,-0.0080,-0.0257,0.0178,3.71,0.0311,1
OUTFRONT Media Inc.,2018-03,50.29,1.03,0.0139,0.0019,0.09,1.00,0.0965,-0.0917,0.5719,1.9053,3.33,-1.32,0.0086,-0.0082,-0.0274,-0.0050,0.24,0.0288,1
I Corp,2014-06,42.08,1.01,0.0252,0.0039,0.44,0.36,0.0332,0.0191,0.1293,0.3434,2.65,7.73,0.0146,0.0084,0.0222,0.0274,1.08,0.1937,1
I Corp,2014-09,40.60,1.04,0.0248,0.0156,0.51,0.36,0.0858,0.0546,0.1385,0.3778,2.73,26.75,0.0440,0.0280,0.0764,0.0563,2.67,0.4926,1
I Corp,2014-12,33.41,1.00,0.0276,-0.0014,0.52,0.35,0.0384,0.0110,0.1597,0.4773,2.99,12.56,0.0200,0.0057,0.0171,0.0321,3.29,0.4699,1
I Corp,2015-03,40.00,1.02,0.0204,0.0074,0.42,0.35,0.0295,0.0162,0.1585,0.4635,2.92,7.75,0.0123,0.0068,0.0198,0.0234,-1.75,-0.2490,1
I Corp,2015-12,36.70,1.01,0.0226,0.0020,0.47,0.38,0.0800,0.0540,0.1507,0.3994,2.65,39.41,0.0378,0.0255,0.0676,0.0499,3.59,0.6035,1
I Corp,2016-03,39.19,0.97,0.0294,-0.0120,0.38,0.37,0.0411,0.0236,0.2290,0.6151,2.69,11.00,0.0157,0.0090,0.0243,0.0273,-0.74,-0.0674,1
I Corp,2016-06,40.74,0.99,0.0180,-0.0053,0.40,0.39,0.0869,0.0541,0.2073,0.5555,2.68,41.20,0.0344,0.0214,0.0574,0.0465,1.86,0.1854,1
I Corp,2016-09,38.02,1.05,0.0201,0.0173,0.43,0.38,0.0890,0.0578,0.1776,0.4612,2.60,47.72,0.0382,0.0248,0.0645,0.0509,3.13,0.3388,1
I Corp,2016-12,35.52,0.93,0.0273,-0.0229,0.44,0.38,0.0826,0.0187,0.1642,0.4363,2.66,48.49,0.0361,0.0082,0.0218,0.0512,2.96,0.5020,1
I Corp,2017-06,39.75,0.96,0.0194,-0.0122,0.37,0.36,0.0429,0.0269,0.2402,0.6812,2.84,16.38,0.0157,0.0099,0.0280,0.0283,0.15,0.0140,1
I Corp,2017-09,39.95,1.08,0.0157,0.0261,0.42,0.37,0.0862,0.0622,0.2212,0.6364,2.88,28.17,0.0363,0.0261,0.0752,0.0489,2.66,0.2685,1
I Corp,2017-12,39.83,1.00,0.0168,-0.0006,0.42,0.35,0.0485,0.0579,0.2009,0.5438,2.71,13.20,0.0204,0.0243,0.0658,0.0335,3.28,0.2711,1
I Corp,2018-03,39.74,1.08,0.0214,0.0240,0.38,0.35,0.0099,0.0050,0.2459,0.6440,2.62,2.15,0.0037,0.0019,0.0049,0.0174,15.21,-0.0930,1
I Corp,2018-06,39.55,1.23,0.0224,0.0681,0.39,0.37,0.0513,0.0342,0.2161,0.5717,2.65,10.26,0.0201,0.0134,0.0354,0.0336,3.79,0.2007,1
I Corp,2018-09,37.54,1.18,0.0313,0.0558,0.44,0.38,0.0880,0.0653,0.1824,0.4607,2.53,20.66,0.0385,0.0286,0.0722,0.0518,8.22,0.3361,1
Kaman Corp,2014-09,31.09,3.06,0.0080,0.3876,0.38,0.28,0.0561,0.0320,0.2756,0.6171,2.24,7.54,0.0212,0.0121,0.0270,0.0293,7.65,0.0935,1
Kaman Corp,2014-12,41.39,2.99,0.0103,0.3667,0.38,0.29,0.0781,0.0328,0.2341,0.5433,2.32,35.88,0.0299,0.0125,0.0291,0.0383,10.24,0.2220,1
Kaman Corp,2015-03,42.69,2.85,0.0084,0.3552,0.37,0.29,0.0504,0.0288,0.2259,0.5150,2.28,22.33,0.0187,0.0107,0.0244,0.0270,4.55,0.1213,1
Kaman Corp,2015-06,46.11,2.97,0.0095,0.3653,0.37,0.30,0.0682,0.0486,0.2247,0.5008,2.23,9.44,0.0250,0.0178,0.0398,0.0330,2.51,0.0578,1
Kaman Corp,2015-09,47.61,2.83,0.0095,0.3593,0.35,0.30,0.0687,0.0397,0.2093,0.4607,2.20,29.78,0.0243,0.0141,0.0310,0.0323,3.76,0.1419,1
Kaman Corp,2015-12,46.36,2.86,0.0114,0.3052,0.31,0.28,0.0521,0.0194,0.3051,0.8088,2.65,23.56,0.0164,0.0061,0.0162,0.0236,3.78,0.0585,1
Kaman Corp,2016-03,31.21,2.76,0.0123,0.3030,0.31,0.30,0.0406,0.0217,0.3058,0.8052,2.63,18.32,0.0125,0.0067,0.0176,0.0203,0.75,0.0128,1
Kaman Corp,2016-06,49.64,2.77,0.0138,0.3129,0.32,0.31,0.0634,0.0350,0.3062,0.7948,2.60,29.86,0.0204,0.0113,0.0292,0.0287,2.54,0.0437,1
Kaman Corp,2016-09,46.76,1.94,0.0177,0.2358,0.31,0.30,0.0693,0.0385,0.2916,0.7258,2.49,31.43,0.0218,0.0121,0.0301,0.0299,5.21,0.1062,1
Kaman Corp,2016-12,43.05,1.97,0.0289,0.2417,0.30,0.31,0.0624,0.0349,0.2918,0.7355,2.52,27.01,0.0189,0.0106,0.0267,0.0272,6.44,0.0906,1
Kaman Corp,2017-03,45.80,2.02,0.0173,0.2493,0.31,0.29,0.0325,0.0144,0.3016,0.7528,2.50,3.41,0.0099,0.0044,0.0110,0.0181,-2.49,-0.0428,1
Kaman Corp,2017-06,46.75,2.96,0.0192,0.3313,0.31,0.30,0.0610,0.0300,0.2993,0.7224,2.41,4.48,0.0189,0.0093,0.0224,0.0270,2.35,0.0421,1
Kaman Corp,2017-09,50.38,2.85,0.0243,0.3259,0.31,0.31,0.0715,0.0364,0.2833,0.6682,2.36,6.07,0.0219,0.0112,0.0263,0.0292,9.41,0.1064,1
Kaman Corp,2017-12,53.55,3.04,0.0254,0.3446,0.33,0.32,0.0941,0.0291,0.2742,0.6279,2.29,44.60,0.0306,0.0095,0.0217,0.0379,4.65,0.0903,1
Kaman Corp,2018-03,55.90,3.06,0.0202,0.3454,0.31,0.29,0.0548,0.0304,0.2350,0.5435,2.31,4.74,0.0171,0.0095,0.0219,0.0250,8.86,0.1630,1
Kaman Corp,2018-06,31.88,2.89,0.0192,0.3324,0.32,0.29,0.0520,0.0322,0.2249,0.5045,2.24,4.87,0.0169,0.0105,0.0235,0.0243,3.92,0.1136,1
Kaman Corp,2018-09,47.45,2.70,0.0183,0.3245,0.31,0.29,0.0413,0.0032,0.2126,0.4768,2.24,3.60,0.0128,0.0010,0.0022,0.0200,4.30,0.1106,1
Camping World Holdings Inc,2015-12,8.43,1.22,0.0688,0.1404,0.45,0.28,0.0345,0.0135,0.9893,-4.4896,-4.54,1.44,0.0155,0.0061,-0.0275,0.0204,-12.03,-0.0782,1
Camping World Holdings Inc,2016-03,6.41,1.15,0.0134,0.1009,0.54,0.28,0.0696,0.0467,0.9537,-5.0865,-5.33,3.10,0.0373,0.0250,-0.1333,0.0414,-7.04,-0.0623,1
Camping World Holdings Inc,2016-06,5.05,1.22,0.0632,0.1418,0.72,0.28,0.0975,0.0790,0.8513,-35.5830,-41.80,5.78,0.0705,0.0571,-2.3858,0.0748,18.27,0.1357,1
Camping World Holdings Inc,2016-09,5.85,1.23,0.0841,0.1442,0.72,0.28,0.0886,0.0690,0.9863,-3.8071,-3.86,5.14,0.0641,0.0499,-0.1926,0.0688,22.75,0.1590,1
Camping World Holdings Inc,2016-12,0.56,1.30,0.0784,0.1770,0.46,0.29,0.0493,0.0024,0.8600,-42.0961,-48.95,2.31,0.0227,0.0011,-0.0533,0.0273,-13.90,-0.0644,1
Camping World Holdings Inc,2017-03,6.41,1.33,0.0964,0.1833,0.49,0.29,0.0789,0.0085,0.7808,17.7616,22.75,4.73,0.0384,0.0042,0.0944,0.0423,-0.83,-0.0092,1
Camping World Holdings Inc,2017-06,5.15,1.34,0.1113,0.1737,0.56,0.29,0.1068,0.0151,0.6614,8.6427,13.07,7.97,0.0603,0.0085,0.1115,0.0647,10.31,0.0675,1
Camping World Holdings Inc,2017-09,5.37,1.29,0.0686,0.1445,0.52,0.29,0.0896,0.0159,0.6376,7.8582,12.32,6.01,0.0465,0.0082,0.1015,0.0492,2.58,0.0586,1
Camping World Holdings Inc,2017-12,1.41,1.36,0.0875,0.1869,0.35,0.30,0.0504,-0.0204,0.7382,33.4651,45.33,2.20,0.0175,-0.0071,-0.3202,0.0210,-8.78,-0.0985,1
Camping World Holdings Inc,2018-03,7.15,1.47,0.1114,0.2289,0.36,0.29,0.0473,0.0030,0.7160,37.0316,51.72,2.13,0.0169,0.0011,0.0553,0.0201,-0.63,-0.0226,1
Camping World Holdings Inc,2018-06,6.01,1.43,0.0727,0.2029,0.49,0.29,0.0832,0.0194,0.6975,28.7592,41.23,4.57,0.0411,0.0096,0.3953,0.0461,1.81,0.0756,1
Rush Enterprises Inc,2014-09,11.70,1.11,0.0589,0.0510,0.51,0.16,0.0331,0.0189,0.5186,1.7246,3.33,41.02,0.0167,0.0096,0.0318,0.0293,0.64,0.0330,1
Rush Enterprises Inc,2014-12,11.92,1.13,0.0711,0.0634,0.50,0.15,0.0320,0.0183,0.5286,1.8633,3.52,43.04,0.0160,0.0091,0.0322,0.0294,0.00,0.0002,1
Rush Enterprises Inc,2015-03,16.16,1.10,0.0173,0.0488,0.44,0.16,0.0254,0.0141,0.5423,1.8930,3.49,30.33,0.0111,0.0061,0.0214,0.0235,-1.20,-0.0650,1
Rush Enterprises Inc,2015-06,12.46,1.09,0.0266,0.0416,0.48,0.16,0.0267,0.0147,0.5306,1.8033,3.40,35.56,0.0129,0.0071,0.0242,0.0260,1.95,0.1090,1
Rush Enterprises Inc,2015-09,15.20,1.06,0.0226,0.0301,0.45,0.16,0.0278,0.0154,0.5239,1.8072,3.45,36.03,0.0126,0.0069,0.0239,0.0253,0.44,0.0247,1
Rush Enterprises Inc,2015-12,12.98,1.06,0.0227,0.0279,0.41,0.15,0.0166,0.0084,0.5268,1.7783,3.38,19.32,0.0068,0.0034,0.0116,0.0202,1.09,0.0850,1
Rush Enterprises Inc,2016-03,13.64,1.08,0.0260,0.0339,0.38,0.17,0.0076,0.0022,0.5228,1.7158,3.28,8.17,0.0029,0.0009,0.0028,0.0169,1.90,0.0692,1
Rush Enterprises Inc,2016-06,12.27,1.08,0.0329,0.0348,0.36,0.18,0.0210,0.0105,0.5196,1.7276,3.32,21.58,0.0077,0.0038,0.0128,0.0217,1.97,0.0833,1
Rush Enterprises Inc,2016-09,13.06,1.10,0.0340,0.0410,0.41,0.17,0.0237,0.0136,0.4968,1.5696,3.16,26.02,0.0097,0.0055,0.0174,0.0243,4.66,0.1223,1
Rush Enterprises Inc,2016-12,14.66,1.12,0.0315,0.0455,0.39,0.17,0.0227,0.0122,0.4803,1.4489,3.02,23.20,0.0089,0.0048,0.0145,0.0241,3.91,0.1075,1
Rush Enterprises Inc,2017-03,15.44,1.14,0.0337,0.0531,0.40,0.18,0.0239,0.0139,0.4834,1.4478,2.99,25.01,0.0095,0.0055,0.0164,0.0241,1.00,0.0294,1
Rush Enterprises Inc,2017-06,11.91,1.13,0.0460,0.0532,0.45,0.17,0.0310,0.0183,0.4729,1.4224,3.01,37.28,0.0138,0.0082,0.0246,0.0283,2.40,0.0732,1
Rush Enterprises Inc,2017-09,12.01,1.16,0.0464,0.0653,0.46,0.17,0.0384,0.0237,0.4711,1.3915,2.95,48.33,0.0175,0.0108,0.0319,0.0318,0.68,0.0304,1
Rush Enterprises Inc,2017-12,14.59,1.17,0.0431,0.0702,0.42,0.18,0.0316,0.0876,0.4810,1.3361,2.78,38.20,0.0132,0.0366,0.1018,0.0274,-0.25,-0.0126,1
Rush Enterprises Inc,2018-03,14.72,1.16,0.0454,0.0673,0.43,0.18,0.0261,0.0170,0.4839,1.3599,2.81,32.42,0.0112,0.0073,0.0204,0.0288,2.56,0.0839,1
Rush Enterprises Inc,2018-06,14.58,1.15,0.0492,0.0663,0.45,0.18,0.0319,0.0218,0.4835,1.3758,2.85,43.03,0.0143,0.0097,0.0277,0.0308,1.10,0.0496,1
Asbury Automotive Group Inc,2014-09,5.25,1.39,0.0058,0.1578,0.78,0.16,0.0439,0.0216,0.6038,2.2193,3.68,5.05,0.0343,0.0169,0.0620,0.0397,4.72,0.0670,1
Asbury Automotive Group Inc,2014-12,6.41,1.23,0.0013,0.1075,0.69,0.16,0.0437,0.0079,0.7080,3.4882,4.93,4.59,0.0300,0.0054,0.0265,0.0350,-16.91,-0.0479,1
Asbury Automotive Group Inc,2015-03,5.71,1.18,0.0005,0.0898,0.71,0.17,0.0474,0.0233,0.6743,3.8793,5.75,4.97,0.0336,0.0165,0.0948,0.0389,7.70,0.0546,1
Asbury Automotive Group Inc,2015-06,5.30,1.16,0.0008,0.0814,0.73,0.16,0.0487,0.0243,0.6991,4.3952,6.29,5.48,0.0356,0.0178,0.1118,0.0405,0.28,0.0056,1
Asbury Automotive Group Inc,2015-09,5.44,1.12,0.0017,0.0604,0.77,0.16,0.0446,0.0298,0.7130,5.0862,7.13,4.85,0.0341,0.0228,0.1625,0.0394,3.82,0.0349,1
Asbury Automotive Group Inc,2015-12,6.56,1.33,0.0012,0.1454,0.71,0.16,0.0425,0.0251,0.7559,5.5424,7.33,3.96,0.0302,0.0178,0.1307,0.0372,0.23,0.0060,1
Asbury Automotive Group Inc,2016-03,5.72,1.23,0.0019,0.1091,0.66,0.17,0.0465,0.0200,0.7535,7.2783,9.66,3.88,0.0309,0.0133,0.1282,0.0341,2.66,0.0257,1
Asbury Automotive Group Inc,2016-06,6.06,1.18,0.0008,0.0867,0.69,0.16,0.0477,0.0226,0.7698,8.3156,10.80,4.04,0.0327,0.0155,0.1671,0.0360,0.71,0.0135,1
Asbury Automotive Group Inc,2016-09,5.98,1.22,0.0016,0.1020,0.72,0.16,0.0429,0.0193,0.7306,6.6498,9.10,3.80,0.0310,0.0139,0.1268,0.0344,11.48,0.0479,1
Asbury Automotive Group Inc,2017-03,6.95,1.17,0.0013,0.0813,0.62,0.13,0.0487,0.0229,0.7228,5.8169,8.05,3.77,0.0301,0.0142,0.1140,0.0359,18.20,0.0567,1
Asbury Automotive Group Inc,2017-06,6.20,1.19,0.0011,0.0907,0.69,0.16,0.0439,0.0195,0.7352,5.4703,7.44,3.56,0.0302,0.0135,0.1003,0.0359,3.13,0.0115,1
Asbury Automotive Group Inc,2017-09,6.11,1.25,0.0012,0.1059,0.71,0.16,0.0435,0.0192,0.7067,4.6185,6.54,3.56,0.0307,0.0135,0.0884,0.0367,12.62,0.0779,1
Asbury Automotive Group Inc,2017-12,6.92,1.23,0.0020,0.1035,0.71,0.16,0.0482,0.0254,0.7190,4.2983,5.98,4.09,0.0342,0.0180,0.1078,0.0400,4.28,0.0136,1
Asbury Automotive Group Inc,2018-03,15.27,1.20,0.0020,0.0928,0.63,0.13,0.0475,0.0260,0.6408,3.6689,5.73,3.70,0.0301,0.0165,0.0945,0.0359,1.71,0.0230,1
Asbury Automotive Group Inc,2018-06,13.42,1.19,0.0010,0.0861,0.68,0.16,0.0462,0.0251,0.6491,3.6322,5.60,3.72,0.0316,0.0171,0.0959,0.0371,-0.75,-0.0041,1
Asbury Automotive Group Inc,2018-09,12.91,1.21,0.0027,0.0954,0.70,0.16,0.0460,0.0252,0.6741,3.5266,5.23,3.72,0.0321,0.0176,0.0921,0.0377,5.64,0.0456,1
